term,gene
Type II diabetes mellitus,PKM
Type II diabetes mellitus,PKLR
Type II diabetes mellitus,HKDC1
Type II diabetes mellitus,PRKCZ
Type II diabetes mellitus,IKBKB
Type II diabetes mellitus,GCK
Type II diabetes mellitus,PRKCD
Tyrosine metabolism,GOT1L1
Tyrosine metabolism,ADH6
Tyrosine metabolism,ALDH3A1
Tyrosine metabolism,GOT1
Tyrosine metabolism,HPD
Tyrosine metabolism,ADH1B
Tyrosine metabolism,ALDH3B2
Tyrosine metabolism,ALDH3B1
Tyrosine metabolism,ADH1A
Tyrosine metabolism,ADH7
Tyrosine metabolism,ADH4
Tyrosine metabolism,ADH5
Tyrosine metabolism,IL4I1
Tyrosine metabolism,AOC2
Tyrosine metabolism,ADH1C
Tyrosine metabolism,MAOB
Tyrosine metabolism,FAHD1
Tyrosine metabolism,TYRP1
Tyrosine metabolism,TYR
Tyrosine metabolism,TPO
Tyrosine metabolism,TH
Tyrosine metabolism,COMT
Tyrosine metabolism,PNMT
Tyrosine metabolism,MIF
Tyrosine metabolism,HGD
Tyrosine metabolism,GSTZ1
Tyrosine metabolism,FAH
Tyrosine metabolism,MAOA
Tyrosine metabolism,DCT
Tyrosine metabolism,DDC
Tyrosine metabolism,GOT2
Tyrosine metabolism,TAT
Tyrosine metabolism,LRTOMT
Tyrosine metabolism,AOX1
Tyrosine metabolism,AOC3
Tyrosine metabolism,DBH
Ubiquinone and other terpenoid-quinone biosynthesis,COQ2
Ubiquinone and other terpenoid-quinone biosynthesis,COQ6
Ubiquinone and other terpenoid-quinone biosynthesis,COQ3
Ubiquinone and other terpenoid-quinone biosynthesis,COQ5
Ubiquinone and other terpenoid-quinone biosynthesis,TAT
Ubiquinone and other terpenoid-quinone biosynthesis,VKORC1
Ubiquinone and other terpenoid-quinone biosynthesis,GGCX
Ubiquinone and other terpenoid-quinone biosynthesis,VKORC1L1
Ubiquinone and other terpenoid-quinone biosynthesis,COQ7
Ubiquinone and other terpenoid-quinone biosynthesis,HPD
Ubiquinone and other terpenoid-quinone biosynthesis,NQO1
Ubiquitin mediated proteolysis,CUL4A
Ubiquitin mediated proteolysis,BTRC
Ubiquitin mediated proteolysis,SAE1
Ubiquitin mediated proteolysis,UBA2
Ubiquitin mediated proteolysis,SIAH1
Ubiquitin mediated proteolysis,COP1
Ubiquitin mediated proteolysis,RCHY1
Ubiquitin mediated proteolysis,UBA6
Ubiquitin mediated proteolysis,FBXW11
Ubiquitin mediated proteolysis,CDC27
Ubiquitin mediated proteolysis,CDC20
Ubiquitin mediated proteolysis,UBE2W
Ubiquitin mediated proteolysis,FBXW7
Ubiquitin mediated proteolysis,CDC16
Ubiquitin mediated proteolysis,CDC23
Ubiquitin mediated proteolysis,CUL1
Ubiquitin mediated proteolysis,SKP1
Ubiquitin mediated proteolysis,ANAPC1
Ubiquitin mediated proteolysis,ANAPC11
Ubiquitin mediated proteolysis,BIRC6
Ubiquitin mediated proteolysis,SMURF1
Ubiquitin mediated proteolysis,ANAPC10
Ubiquitin mediated proteolysis,KLHL9
Ubiquitin mediated proteolysis,ANAPC16
Ubiquitin mediated proteolysis,CDC26
Ubiquitin mediated proteolysis,HUWE1
Ubiquitin mediated proteolysis,UBE2Q1
Ubiquitin mediated proteolysis,ANAPC15
Ubiquitin mediated proteolysis,ANAPC2
Ubiquitin mediated proteolysis,ANAPC4
Ubiquitin mediated proteolysis,FZR1
Ubiquitin mediated proteolysis,ANAPC5
Ubiquitin mediated proteolysis,ANAPC7
Ubiquitin mediated proteolysis,ANAPC13
Ubiquitin mediated proteolysis,STUB1
Ubiquitin mediated proteolysis,UBE4B
Ubiquitin mediated proteolysis,PIAS3
Ubiquitin mediated proteolysis,FBXO4
Ubiquitin mediated proteolysis,UBE2S
Ubiquitin mediated proteolysis,UBE2K
Ubiquitin mediated proteolysis,AIRE
Ubiquitin mediated proteolysis,NHLRC1
Ubiquitin mediated proteolysis,UBE2NL
Ubiquitin mediated proteolysis,FBXW8
Ubiquitin mediated proteolysis,MID1
Ubiquitin mediated proteolysis,NEDD4
Ubiquitin mediated proteolysis,PRKN
Ubiquitin mediated proteolysis,UBR5
Ubiquitin mediated proteolysis,UBE2J1
Ubiquitin mediated proteolysis,UBE2D4
Ubiquitin mediated proteolysis,PML
Ubiquitin mediated proteolysis,TRIM37
Ubiquitin mediated proteolysis,UBE2O
Ubiquitin mediated proteolysis,FBXO2
Ubiquitin mediated proteolysis,PPIL2
Ubiquitin mediated proteolysis,UBE2E3
Ubiquitin mediated proteolysis,WWP1
Ubiquitin mediated proteolysis,WWP2
Ubiquitin mediated proteolysis,UBE2C
Ubiquitin mediated proteolysis,UBE2J2
Ubiquitin mediated proteolysis,UBE2QL1
Ubiquitin mediated proteolysis,HERC4
Ubiquitin mediated proteolysis,UBE2F
Ubiquitin mediated proteolysis,UBOX5
Ubiquitin mediated proteolysis,TRIM32
Ubiquitin mediated proteolysis,RHOBTB2
Ubiquitin mediated proteolysis,MGRN1
Ubiquitin mediated proteolysis,NEDD4L
Ubiquitin mediated proteolysis,CBLC
Ubiquitin mediated proteolysis,UBE2U
Ubiquitin mediated proteolysis,SMURF2
Ubiquitin mediated proteolysis,UBE2Z
Ubiquitin mediated proteolysis,SKP2
Ubiquitin mediated proteolysis,BIRC2
Ubiquitin mediated proteolysis,BIRC3
Ubiquitin mediated proteolysis,XIAP
Ubiquitin mediated proteolysis,BRCA1
Ubiquitin mediated proteolysis,UBE2M
Ubiquitin mediated proteolysis,CBLB
Ubiquitin mediated proteolysis,CBL
Ubiquitin mediated proteolysis,RPS27A
Ubiquitin mediated proteolysis,UBA52
Ubiquitin mediated proteolysis,PIAS2
Ubiquitin mediated proteolysis,UBE2L6
Ubiquitin mediated proteolysis,UBE2Q2
Ubiquitin mediated proteolysis,UBE2I
Ubiquitin mediated proteolysis,TRAF6
Ubiquitin mediated proteolysis,TRIP12
Ubiquitin mediated proteolysis,UBE4A
Ubiquitin mediated proteolysis,RNF7
Ubiquitin mediated proteolysis,CUL4B
Ubiquitin mediated proteolysis,RBX1
Ubiquitin mediated proteolysis,DDB2
Ubiquitin mediated proteolysis,DDB1
Ubiquitin mediated proteolysis,ERCC8
Ubiquitin mediated proteolysis,UBC
Ubiquitin mediated proteolysis,UBA3
Ubiquitin mediated proteolysis,FANCL
Ubiquitin mediated proteolysis,CDC34
Ubiquitin mediated proteolysis,RHOBTB1
Ubiquitin mediated proteolysis,CUL7
Ubiquitin mediated proteolysis,KEAP1
Ubiquitin mediated proteolysis,UBE3C
Ubiquitin mediated proteolysis,PRPF19
Ubiquitin mediated proteolysis,MAP3K1
Ubiquitin mediated proteolysis,UBE2R2
Ubiquitin mediated proteolysis,KLHL13
Ubiquitin mediated proteolysis,UBE3B
Ubiquitin mediated proteolysis,UBE2E1
Ubiquitin mediated proteolysis,UBE2D3
Ubiquitin mediated proteolysis,UBE2D2
Ubiquitin mediated proteolysis,UBE2D1
Ubiquitin mediated proteolysis,UBE2B
Ubiquitin mediated proteolysis,UBE2A
Ubiquitin mediated proteolysis,UBE2E2
Ubiquitin mediated proteolysis,UBA7
Ubiquitin mediated proteolysis,ELOC
Ubiquitin mediated proteolysis,ELOB
Ubiquitin mediated proteolysis,VHL
Ubiquitin mediated proteolysis,CUL2
Ubiquitin mediated proteolysis,UBA1
Ubiquitin mediated proteolysis,UBB
Ubiquitin mediated proteolysis,PIAS4
Ubiquitin mediated proteolysis,SOCS3
Ubiquitin mediated proteolysis,UBE2G1
Ubiquitin mediated proteolysis,UBE2H
Ubiquitin mediated proteolysis,MDM2
Ubiquitin mediated proteolysis,HERC1
Ubiquitin mediated proteolysis,HERC2
Ubiquitin mediated proteolysis,HERC3
Ubiquitin mediated proteolysis,SOCS1
Ubiquitin mediated proteolysis,PIAS1
Ubiquitin mediated proteolysis,CUL3
Ubiquitin mediated proteolysis,DET1
Ubiquitin mediated proteolysis,SYVN1
Ubiquitin mediated proteolysis,ITCH
Ubiquitin mediated proteolysis,CUL5
Ubiquitin mediated proteolysis,BIRC7
Ubiquitin mediated proteolysis,UBE3A
Ubiquitin mediated proteolysis,UBE2N
Ubiquitin mediated proteolysis,UBE2L3
Ubiquitin mediated proteolysis,UBE2G2
VEGF signaling pathway,PIK3CD
VEGF signaling pathway,SHC2
VEGF signaling pathway,PLCG1
VEGF signaling pathway,RAF1
VEGF signaling pathway,SRC
VEGF signaling pathway,NFATC2
VEGF signaling pathway,VEGFA
VEGF signaling pathway,PIK3R3
VEGF signaling pathway,MAPK14
VEGF signaling pathway,MAPK11
VEGF signaling pathway,MAPK13
VEGF signaling pathway,PTK2
VEGF signaling pathway,MAPK12
VEGF signaling pathway,CASP9
VEGF signaling pathway,CDC42
VEGF signaling pathway,MAPKAPK2
VEGF signaling pathway,MAPKAPK3
VEGF signaling pathway,RAC3
VEGF signaling pathway,RAC2
VEGF signaling pathway,RAC1
VEGF signaling pathway,PPP3R2
VEGF signaling pathway,PPP3R1
VEGF signaling pathway,PPP3CC
VEGF signaling pathway,PPP3CB
VEGF signaling pathway,PPP3CA
VEGF signaling pathway,HSPB1
VEGF signaling pathway,BAD
VEGF signaling pathway,MAP2K2
VEGF signaling pathway,MAP2K1
VEGF signaling pathway,MAPK3
VEGF signaling pathway,PLCG2
VEGF signaling pathway,PLA2G4B
VEGF signaling pathway,PLA2G4E
VEGF signaling pathway,PLA2G4F
VEGF signaling pathway,PLA2G4A
VEGF signaling pathway,PLA2G4C
VEGF signaling pathway,JMJD7-PLA2G4B
VEGF signaling pathway,PTGS2
VEGF signaling pathway,SPHK2
VEGF signaling pathway,SPHK1
VEGF signaling pathway,PXN
VEGF signaling pathway,PIK3CB
VEGF signaling pathway,AKT3
VEGF signaling pathway,AKT2
VEGF signaling pathway,HRAS
VEGF signaling pathway,KDR
VEGF signaling pathway,KRAS
VEGF signaling pathway,NRAS
VEGF signaling pathway,PIK3R1
VEGF signaling pathway,PIK3R2
VEGF signaling pathway,PRKCA
VEGF signaling pathway,PRKCB
VEGF signaling pathway,PRKCG
VEGF signaling pathway,MAPK1
VEGF signaling pathway,AKT1
VEGF signaling pathway,PIK3CA
VEGF signaling pathway,PLA2G4D
VEGF signaling pathway,SH2D2A
VEGF signaling pathway,NOS3
"Valine, leucine and isoleucine biosynthesis",BCAT2
"Valine, leucine and isoleucine biosynthesis",SDSL
"Valine, leucine and isoleucine biosynthesis",SDS
"Valine, leucine and isoleucine biosynthesis",BCAT1
"Valine, leucine and isoleucine degradation",BCAT1
"Valine, leucine and isoleucine degradation",OXCT2
"Valine, leucine and isoleucine degradation",ALDH1B1
"Valine, leucine and isoleucine degradation",MCCC2
"Valine, leucine and isoleucine degradation",AACS
"Valine, leucine and isoleucine degradation",AGXT2
"Valine, leucine and isoleucine degradation",MCEE
"Valine, leucine and isoleucine degradation",ALDH7A1
"Valine, leucine and isoleucine degradation",ABAT
"Valine, leucine and isoleucine degradation",ACADS
"Valine, leucine and isoleucine degradation",ALDH2
"Valine, leucine and isoleucine degradation",ACADM
"Valine, leucine and isoleucine degradation",ACAA1
"Valine, leucine and isoleucine degradation",DLD
"Valine, leucine and isoleucine degradation",IL4I1
"Valine, leucine and isoleucine degradation",BCAT2
"Valine, leucine and isoleucine degradation",HMGCS1
"Valine, leucine and isoleucine degradation",BCKDHB
"Valine, leucine and isoleucine degradation",ALDH6A1
"Valine, leucine and isoleucine degradation",OXCT1
"Valine, leucine and isoleucine degradation",PCCA
"Valine, leucine and isoleucine degradation",PCCB
"Valine, leucine and isoleucine degradation",IVD
"Valine, leucine and isoleucine degradation",AOX1
"Valine, leucine and isoleucine degradation",HMGCS2
"Valine, leucine and isoleucine degradation",HMGCLL1
"Valine, leucine and isoleucine degradation",ACAT2
"Valine, leucine and isoleucine degradation",ACSF3
"Valine, leucine and isoleucine degradation",AUH
"Valine, leucine and isoleucine degradation",HSD17B10
"Valine, leucine and isoleucine degradation",ACAD8
"Valine, leucine and isoleucine degradation",MCCC1
"Valine, leucine and isoleucine degradation",BCKDHA
"Valine, leucine and isoleucine degradation",ACAT1
"Valine, leucine and isoleucine degradation",HIBCH
"Valine, leucine and isoleucine degradation",DBT
"Valine, leucine and isoleucine degradation",HIBADH
"Valine, leucine and isoleucine degradation",ACADSB
"Valine, leucine and isoleucine degradation",HMGCL
"Valine, leucine and isoleucine degradation",EHHADH
"Valine, leucine and isoleucine degradation",MMUT
"Valine, leucine and isoleucine degradation",ACAA2
"Valine, leucine and isoleucine degradation",ECHS1
"Valine, leucine and isoleucine degradation",ALDH9A1
"Valine, leucine and isoleucine degradation",HADHA
"Valine, leucine and isoleucine degradation",HADH
"Valine, leucine and isoleucine degradation",HADHB
"Valine, leucine and isoleucine degradation",ALDH3A2
Various types of N-glycan biosynthesis,ALG12
Various types of N-glycan biosynthesis,STT3A
Various types of N-glycan biosynthesis,MAN1A1
Various types of N-glycan biosynthesis,MAN2A2
Various types of N-glycan biosynthesis,MGAT1
Various types of N-glycan biosynthesis,MGAT2
Various types of N-glycan biosynthesis,ALG11
Various types of N-glycan biosynthesis,ALG1
Various types of N-glycan biosynthesis,RPN1
Various types of N-glycan biosynthesis,RPN2
Various types of N-glycan biosynthesis,MAN2A1
Various types of N-glycan biosynthesis,MGAT4C
Various types of N-glycan biosynthesis,ALG14
Various types of N-glycan biosynthesis,STT3B
Various types of N-glycan biosynthesis,DDOST
Various types of N-glycan biosynthesis,DAD1
Various types of N-glycan biosynthesis,MGAT4D
Various types of N-glycan biosynthesis,MGAT4A
Various types of N-glycan biosynthesis,MGAT4B
Various types of N-glycan biosynthesis,MAN1B1
Various types of N-glycan biosynthesis,MAN1A2
Various types of N-glycan biosynthesis,ALG3
Various types of N-glycan biosynthesis,B4GALT2
Various types of N-glycan biosynthesis,FUT8
Various types of N-glycan biosynthesis,CHST9
Various types of N-glycan biosynthesis,MAN1C1
Various types of N-glycan biosynthesis,ALG2
Various types of N-glycan biosynthesis,HEXD
Various types of N-glycan biosynthesis,B4GALNT3
Various types of N-glycan biosynthesis,TUSC3
Various types of N-glycan biosynthesis,HEXA
Various types of N-glycan biosynthesis,B4GALT3
Various types of N-glycan biosynthesis,CHST8
Various types of N-glycan biosynthesis,B4GALNT4
Various types of N-glycan biosynthesis,HEXB
Various types of N-glycan biosynthesis,ST3GAL3
Various types of N-glycan biosynthesis,ALG13
Various types of N-glycan biosynthesis,ALG9
Various types of N-glycan biosynthesis,B4GALT1
Vascular smooth muscle contraction,CALM1
Vascular smooth muscle contraction,EDN3
Vascular smooth muscle contraction,ROCK1
Vascular smooth muscle contraction,PLCB1
Vascular smooth muscle contraction,KCNMB1
Vascular smooth muscle contraction,PPP1R12A
Vascular smooth muscle contraction,PLA2G4E
Vascular smooth muscle contraction,EDN1
Vascular smooth muscle contraction,KCNMA1
Vascular smooth muscle contraction,CALML6
Vascular smooth muscle contraction,RAF1
Vascular smooth muscle contraction,GNA13
Vascular smooth muscle contraction,NPPA
Vascular smooth muscle contraction,CALM2
Vascular smooth muscle contraction,PRKG1
Vascular smooth muscle contraction,NPPB
Vascular smooth muscle contraction,PLCB4
Vascular smooth muscle contraction,EDN2
Vascular smooth muscle contraction,GNA12
Vascular smooth muscle contraction,MAP2K2
Vascular smooth muscle contraction,CACNA1C
Vascular smooth muscle contraction,PLA2G4F
Vascular smooth muscle contraction,CALML5
Vascular smooth muscle contraction,ADM2
Vascular smooth muscle contraction,CALCB
Vascular smooth muscle contraction,CACNA1F
Vascular smooth muscle contraction,CALCA
Vascular smooth muscle contraction,PLA2G2D
Vascular smooth muscle contraction,PLA2G4D
Vascular smooth muscle contraction,PLA2G2E
Vascular smooth muscle contraction,PPP1CC
Vascular smooth muscle contraction,GUCY1A2
Vascular smooth muscle contraction,PTGIR
Vascular smooth muscle contraction,CACNA1S
Vascular smooth muscle contraction,PLA2G2C
Vascular smooth muscle contraction,ROCK2
Vascular smooth muscle contraction,PPP1CA
Vascular smooth muscle contraction,PLCB3
Vascular smooth muscle contraction,PLA2G3
Vascular smooth muscle contraction,PLA2G1B
Vascular smooth muscle contraction,KCNU1
Vascular smooth muscle contraction,KCNMB3
Vascular smooth muscle contraction,PLA2G4B
Vascular smooth muscle contraction,BRAF
Vascular smooth muscle contraction,KCNMB4
Vascular smooth muscle contraction,CACNA1D
Vascular smooth muscle contraction,RHOA
Vascular smooth muscle contraction,MAP2K1
Vascular smooth muscle contraction,PPP1CB
Vascular smooth muscle contraction,PLA2G2A
Vascular smooth muscle contraction,ADRA1D
Vascular smooth muscle contraction,GNAS
Vascular smooth muscle contraction,ADCY3
Vascular smooth muscle contraction,ARHGEF11
Vascular smooth muscle contraction,PPP1R14A
Vascular smooth muscle contraction,ARHGEF1
Vascular smooth muscle contraction,CALD1
Vascular smooth muscle contraction,MYH14
Vascular smooth muscle contraction,ACTG2
Vascular smooth muscle contraction,ACTA2
Vascular smooth muscle contraction,PRKCH
Vascular smooth muscle contraction,PPP1R12C
Vascular smooth muscle contraction,PPP1R12B
Vascular smooth muscle contraction,MYL6
Vascular smooth muscle contraction,MYH11
Vascular smooth muscle contraction,MYH10
Vascular smooth muscle contraction,MYH9
Vascular smooth muscle contraction,ARHGEF12
Vascular smooth muscle contraction,MYL6B
Vascular smooth muscle contraction,RAMP3
Vascular smooth muscle contraction,RAMP1
Vascular smooth muscle contraction,ADRA1B
Vascular smooth muscle contraction,ADRA1A
Vascular smooth muscle contraction,ADCY5
Vascular smooth muscle contraction,AGTR1
Vascular smooth muscle contraction,ADCY9
Vascular smooth muscle contraction,PRKACA
Vascular smooth muscle contraction,PRKACB
Vascular smooth muscle contraction,ADCY8
Vascular smooth muscle contraction,GUCY1A1
Vascular smooth muscle contraction,AVPR1A
Vascular smooth muscle contraction,MYLK
Vascular smooth muscle contraction,ADCY4
Vascular smooth muscle contraction,PRKACG
Vascular smooth muscle contraction,AVPR1B
Vascular smooth muscle contraction,RAMP2
Vascular smooth muscle contraction,GUCY1B1
Vascular smooth muscle contraction,ADCY7
Vascular smooth muscle contraction,ITPR2
Vascular smooth muscle contraction,PRKCD
Vascular smooth muscle contraction,ITPR1
Vascular smooth muscle contraction,ARAF
Vascular smooth muscle contraction,MYLK4
Vascular smooth muscle contraction,ADCY6
Vascular smooth muscle contraction,PRKCQ
Vascular smooth muscle contraction,GNA11
Vascular smooth muscle contraction,EDNRA
Vascular smooth muscle contraction,ITPR3
Vascular smooth muscle contraction,MYLK3
Vascular smooth muscle contraction,MYLK2
Vascular smooth muscle contraction,NPR1
Vascular smooth muscle contraction,AVP
Vascular smooth muscle contraction,ADORA2A
Vascular smooth muscle contraction,PRKCG
Vascular smooth muscle contraction,PLA2G4C
Vascular smooth muscle contraction,PLA2G12B
Vascular smooth muscle contraction,PLA2G10
Vascular smooth muscle contraction,MAPK1
Vascular smooth muscle contraction,PLA2G6
Vascular smooth muscle contraction,PLA2G12A
Vascular smooth muscle contraction,CALCRL
Vascular smooth muscle contraction,PLA2G2F
Vascular smooth muscle contraction,ADM
Vascular smooth muscle contraction,CALML4
Vascular smooth muscle contraction,NPPC
Vascular smooth muscle contraction,PLA2G5
Vascular smooth muscle contraction,MAPK3
Vascular smooth muscle contraction,CALML3
Vascular smooth muscle contraction,PLA2G4A
Vascular smooth muscle contraction,CALM3
Vascular smooth muscle contraction,JMJD7-PLA2G4B
Vascular smooth muscle contraction,AGT
Vascular smooth muscle contraction,PRKCE
Vascular smooth muscle contraction,ADCY1
Vascular smooth muscle contraction,PLCB2
Vascular smooth muscle contraction,ADORA2B
Vascular smooth muscle contraction,NPR2
Vascular smooth muscle contraction,GNAQ
Vascular smooth muscle contraction,ADCY2
Vascular smooth muscle contraction,PRKCB
Vascular smooth muscle contraction,KCNMB2
Vascular smooth muscle contraction,PRKCA
Vascular smooth muscle contraction,MYL9
Vascular smooth muscle contraction,IRAG1
Vasopressin-regulated water reabsorption,AQP4
Vasopressin-regulated water reabsorption,RAB5C
Vasopressin-regulated water reabsorption,PRKACG
Vasopressin-regulated water reabsorption,DCTN2
Vasopressin-regulated water reabsorption,RAB11A
Vasopressin-regulated water reabsorption,DCTN4
Vasopressin-regulated water reabsorption,PRKACB
Vasopressin-regulated water reabsorption,DCTN6
Vasopressin-regulated water reabsorption,VAMP2
Vasopressin-regulated water reabsorption,PRKACA
Vasopressin-regulated water reabsorption,RAB11B
Vasopressin-regulated water reabsorption,CREB3L4
Vasopressin-regulated water reabsorption,ADCY6
Vasopressin-regulated water reabsorption,DYNLL2
Vasopressin-regulated water reabsorption,CREB1
Vasopressin-regulated water reabsorption,ADCY3
Vasopressin-regulated water reabsorption,DCTN5
Vasopressin-regulated water reabsorption,GNAS
Vasopressin-regulated water reabsorption,RAB5A
Vasopressin-regulated water reabsorption,DYNC1H1
Vasopressin-regulated water reabsorption,DYNC1I1
Vasopressin-regulated water reabsorption,STX4
Vasopressin-regulated water reabsorption,DYNC1I2
Vasopressin-regulated water reabsorption,DYNC1LI2
Vasopressin-regulated water reabsorption,CREB3
Vasopressin-regulated water reabsorption,DYNLL1
Vasopressin-regulated water reabsorption,DCTN1
Vasopressin-regulated water reabsorption,RAB5B
Vasopressin-regulated water reabsorption,AQP3
Vasopressin-regulated water reabsorption,DYNC2LI1
Vasopressin-regulated water reabsorption,AQP2
Vasopressin-regulated water reabsorption,ARHGDIB
Vasopressin-regulated water reabsorption,ADCY9
Vasopressin-regulated water reabsorption,CREB3L2
Vasopressin-regulated water reabsorption,CREB3L3
Vasopressin-regulated water reabsorption,CREB3L1
Vasopressin-regulated water reabsorption,ARHGDIG
Vasopressin-regulated water reabsorption,CREB5
Vasopressin-regulated water reabsorption,NSF
Vasopressin-regulated water reabsorption,ARHGDIA
Vasopressin-regulated water reabsorption,DYNC1LI1
Vasopressin-regulated water reabsorption,AVP
Vasopressin-regulated water reabsorption,AVPR2
Vasopressin-regulated water reabsorption,DYNC2H1
Vibrio cholerae infection,ATP6V0A2
Vibrio cholerae infection,SEC61G
Vibrio cholerae infection,ATP6AP1
Vibrio cholerae infection,ATP6V0E2
Vibrio cholerae infection,PDIA4
Vibrio cholerae infection,ATP6V1C2
Vibrio cholerae infection,ATP6V0D2
Vibrio cholerae infection,ERO1A
Vibrio cholerae infection,ATP6V0D1
Vibrio cholerae infection,ATP6V1D
Vibrio cholerae infection,CFTR
Vibrio cholerae infection,ATP6V1E2
Vibrio cholerae infection,KDELR1
Vibrio cholerae infection,KDELR2
Vibrio cholerae infection,KDELR3
Vibrio cholerae infection,ATP6V1F
Vibrio cholerae infection,SEC61A1
Vibrio cholerae infection,ARF1
Vibrio cholerae infection,SEC61A2
Vibrio cholerae infection,ADCY9
Vibrio cholerae infection,PRKACA
Vibrio cholerae infection,TCIRG1
Vibrio cholerae infection,PRKACB
Vibrio cholerae infection,ATP6V1G3
Vibrio cholerae infection,PRKACG
Vibrio cholerae infection,GNAS
Vibrio cholerae infection,ATP6V1G1
Vibrio cholerae infection,ADCY3
Vibrio cholerae infection,KCNQ1
Vibrio cholerae infection,TJP2
Vibrio cholerae infection,ACTB
Vibrio cholerae infection,ATP6V0A4
Vibrio cholerae infection,TJP1
Vibrio cholerae infection,PRKCA
Vibrio cholerae infection,ATP6V1H
Vibrio cholerae infection,ACTG1
Vibrio cholerae infection,ATP6V0E1
Vibrio cholerae infection,SLC12A2
Vibrio cholerae infection,SEC61B
Vibrio cholerae infection,ATP6V1B2
Vibrio cholerae infection,ATP6V0C
Vibrio cholerae infection,ATP6V0B
Vibrio cholerae infection,PLCG2
Vibrio cholerae infection,ATP6V1E1
Vibrio cholerae infection,ATP6V1B1
Vibrio cholerae infection,ATP6V1A
Vibrio cholerae infection,ATP6V1C1
Vibrio cholerae infection,ATP6V1G2
Vibrio cholerae infection,ATP6V0A1
Vibrio cholerae infection,PLCG1
Viral carcinogenesis,CDK2
Viral carcinogenesis,HDAC6
Viral carcinogenesis,H2BK1
Viral carcinogenesis,H4C16
Viral carcinogenesis,TRAF5
Viral carcinogenesis,histone H2B type F-S-like
Viral carcinogenesis,HDAC7
Viral carcinogenesis,VDAC3
Viral carcinogenesis,CDKN2B
Viral carcinogenesis,KRAS
Viral carcinogenesis,TRAF3
Viral carcinogenesis,SRC
Viral carcinogenesis,H2BC12L
Viral carcinogenesis,CCNE1
Viral carcinogenesis,NRAS
Viral carcinogenesis,CREB3L2
Viral carcinogenesis,H4C15
Viral carcinogenesis,HDAC4
Viral carcinogenesis,PIK3R1
Viral carcinogenesis,RBL2
Viral carcinogenesis,HDAC5
Viral carcinogenesis,TRAF1
Viral carcinogenesis,SYK
Viral carcinogenesis,H2BC18
Viral carcinogenesis,UBR4
Viral carcinogenesis,LTBR
Viral carcinogenesis,VAC14
Viral carcinogenesis,H2BC5
Viral carcinogenesis,RANBP1
Viral carcinogenesis,CDC20
Viral carcinogenesis,CDK1
Viral carcinogenesis,CHD4
Viral carcinogenesis,H2BW2
Viral carcinogenesis,GRB2
Viral carcinogenesis,H2BC3
Viral carcinogenesis,HRAS
Viral carcinogenesis,H2BC1
Viral carcinogenesis,IL6ST
Viral carcinogenesis,H2BC10
Viral carcinogenesis,JAK3
Viral carcinogenesis,MDM2
Viral carcinogenesis,H4C4
Viral carcinogenesis,LYN
Viral carcinogenesis,H2BW1
Viral carcinogenesis,PXN
Viral carcinogenesis,JAK1
Viral carcinogenesis,JUN
Viral carcinogenesis,H2BC26
Viral carcinogenesis,HDAC8
Viral carcinogenesis,CCNE2
Viral carcinogenesis,PIK3R2
Viral carcinogenesis,H2BC6
Viral carcinogenesis,SKP2
Viral carcinogenesis,MAPK3
Viral carcinogenesis,YWHAB
Viral carcinogenesis,CREB5
Viral carcinogenesis,ATP6V0D1
Viral carcinogenesis,H2BC4
Viral carcinogenesis,BAX
Viral carcinogenesis,H2BC17
Viral carcinogenesis,CDKN2A
Viral carcinogenesis,CDKN1B
Viral carcinogenesis,CREB1
Viral carcinogenesis,CDKN1A
Viral carcinogenesis,ATF6B
Viral carcinogenesis,CDK4
Viral carcinogenesis,CDK6
Viral carcinogenesis,YWHAQ
Viral carcinogenesis,RBL1
Viral carcinogenesis,CHEK1
Viral carcinogenesis,CREB3L4
Viral carcinogenesis,HDAC2
Viral carcinogenesis,PIK3R3
Viral carcinogenesis,H2BC14
Viral carcinogenesis,HDAC1
Viral carcinogenesis,NFKBIA
Viral carcinogenesis,H2BC7
Viral carcinogenesis,H2BC21
Viral carcinogenesis,C3
Viral carcinogenesis,CCND3
Viral carcinogenesis,ACTN1
Viral carcinogenesis,YWHAG
Viral carcinogenesis,CREB3L3
Viral carcinogenesis,BAD
Viral carcinogenesis,USP7
Viral carcinogenesis,CCNA1
Viral carcinogenesis,DLG1
Viral carcinogenesis,SCRIB
Viral carcinogenesis,CCND2
Viral carcinogenesis,H4C9
Viral carcinogenesis,STAT3
Viral carcinogenesis,CCNA2
Viral carcinogenesis,H2BC8
Viral carcinogenesis,H2BC13
Viral carcinogenesis,CREB3
Viral carcinogenesis,MAPK1
Viral carcinogenesis,H2BC15
Viral carcinogenesis,CCR8
Viral carcinogenesis,CCR4
Viral carcinogenesis,CCR3
Viral carcinogenesis,CREB3L1
Viral carcinogenesis,MAD1L1
Viral carcinogenesis,H4C1
Viral carcinogenesis,H2BC9
Viral carcinogenesis,ACTN4
Viral carcinogenesis,YWHAZ
Viral carcinogenesis,YWHAH
Viral carcinogenesis,YWHAE
Viral carcinogenesis,HDAC11
Viral carcinogenesis,UBE3A
Viral carcinogenesis,PRKACA
Viral carcinogenesis,TRADD
Viral carcinogenesis,NFKB2
Viral carcinogenesis,ATF4
Viral carcinogenesis,HDAC9
Viral carcinogenesis,MAPKAPK2
Viral carcinogenesis,PSMC1
Viral carcinogenesis,H2BC11
Viral carcinogenesis,CDC42
Viral carcinogenesis,HDAC3
