term,gene
AMPK signaling pathway,CRTC2
AMPK signaling pathway,MAP3K7
AMPK signaling pathway,ACACA
AMPK signaling pathway,SCD
AMPK signaling pathway,INSR
AMPK signaling pathway,ADIPOR2
AMPK signaling pathway,FBP1
AMPK signaling pathway,GYS2
AMPK signaling pathway,CREB5
AMPK signaling pathway,G6PC2
AMPK signaling pathway,PRKAB2
AMPK signaling pathway,MLYCD
AMPK signaling pathway,PRKAA1
AMPK signaling pathway,SCD5
AMPK signaling pathway,LEP
AMPK signaling pathway,EEF2K
AMPK signaling pathway,ADRA1A
AMPK signaling pathway,CFTR
AMPK signaling pathway,STRADB
AMPK signaling pathway,RPTOR
AMPK signaling pathway,G6PC1
AMPK signaling pathway,RAB10
AMPK signaling pathway,PIK3CA
AMPK signaling pathway,PRKAG2
AMPK signaling pathway,CREB3
AMPK signaling pathway,SREBF1
AMPK signaling pathway,PPP2R1B
Acute myeloid leukemia,BAD
Acute myeloid leukemia,PIK3CD
Acute myeloid leukemia,FLT3
Acute myeloid leukemia,STAT3
Acute myeloid leukemia,CD14
Acute myeloid leukemia,MAP2K1
Acute myeloid leukemia,RPS6KB2
Acute myeloid leukemia,RAF1
Acute myeloid leukemia,RELA
Acute myeloid leukemia,CEBPE
Acute myeloid leukemia,CHUK
Acute myeloid leukemia,PIK3R2
Acute myeloid leukemia,AKT2
Acute myeloid leukemia,SOS1
Acute myeloid leukemia,BCL2A1
Acute myeloid leukemia,PIK3CB
Acute myeloid leukemia,KRAS
Acute myeloid leukemia,IL3
Acute myeloid leukemia,MAP2K2
Acute myeloid leukemia,SOS2
Acute myeloid leukemia,RPS6KB1
Acute myeloid leukemia,BRAF
Acute myeloid leukemia,MAPK1
Acute myeloid leukemia,AKT3
Acute myeloid leukemia,SPI1
Acute myeloid leukemia,KIT
Acute myeloid leukemia,PER2
Acute myeloid leukemia,MPO
Acute myeloid leukemia,RUNX1T1
Acute myeloid leukemia,CCND1
Acute myeloid leukemia,STAT5B
Acute myeloid leukemia,CSF1R
Acute myeloid leukemia,IKBKG
Acute myeloid leukemia,PIK3R1
Acute myeloid leukemia,TCF7L1
Acute myeloid leukemia,MYC
Acute myeloid leukemia,LEF1
Acute myeloid leukemia,NFKB1
Acute myeloid leukemia,JUP
Acute myeloid leukemia,PIM1
Acute myeloid leukemia,CCNA2
Acute myeloid leukemia,CSF2
Acute myeloid leukemia,PIM2
Acute myeloid leukemia,EIF4EBP1
Acute myeloid leukemia,CCNA1
Acute myeloid leukemia,IKBKB
Acute myeloid leukemia,DUSP6
Acute myeloid leukemia,CEBPA
Acute myeloid leukemia,PML
Acute myeloid leukemia,ITGAM
Acute myeloid leukemia,STAT5A
Acute myeloid leukemia,NRAS
Acute myeloid leukemia,RUNX1
Acute myeloid leukemia,ZBTB16
Acute myeloid leukemia,FCGR1A
Acute myeloid leukemia,PIK3R3
Acute myeloid leukemia,PPARD
Acute myeloid leukemia,RARA
Acute myeloid leukemia,AKT1
Acute myeloid leukemia,ARAF
Acute myeloid leukemia,TCF7L2
Acute myeloid leukemia,MTOR
Acute myeloid leukemia,HRAS
Acute myeloid leukemia,PIK3CA
Acute myeloid leukemia,TCF7
Acute myeloid leukemia,MAPK3
Acute myeloid leukemia,GRB2
Adherens junction,NLK
Adherens junction,SSX2IP
Adherens junction,FYN
Adherens junction,SNAI1
Adherens junction,PTPN6
Adherens junction,AFDN
Adherens junction,FER
Adherens junction,NECTIN4
Adherens junction,ERBB2
Adherens junction,IQGAP1
Adherens junction,WASF1
Adherens junction,PARD3
Adherens junction,PTPN1
Adherens junction,PTPRB
Adherens junction,CTNNA3
Adherens junction,YES1
Adherens junction,PTPRJ
Adherens junction,CDC42
Adherens junction,EP300
Adherens junction,SMAD4
Adherens junction,NECTIN2
Adherens junction,CSNK2B
Adherens junction,CSNK2A3
Adherens junction,LMO7
Adherens junction,EGFR
Adherens junction,CSNK2A2
Adherens junction,TJP1
Adherens junction,ACTB
Adherens junction,IGF1R
Adherens junction,CTNND1
Adherens junction,NECTIN3
Adherens junction,PTPRF
Adherens junction,CTNNB1
Adherens junction,RAC2
Adherens junction,SRC
Adherens junction,SMAD3
Adherens junction,WASF2
Adherens junction,CSNK2A1
Adherens junction,PTPRM
Adherens junction,MAP3K7
Adherens junction,MET
Adherens junction,RAC3
Adherens junction,LEF1
Adherens junction,MAPK3
Adherens junction,TCF7L2
Adherens junction,WAS
Adherens junction,SNAI2
Adherens junction,TCF7L1
Adherens junction,TCF7
Adherens junction,RHOA
Adherens junction,ACTG1
Adherens junction,ACP1
Adherens junction,CREBBP
Adherens junction,FGFR1
Adherens junction,FARP2
Adherens junction,MAPK1
Adherens junction,CDH1
Adherens junction,CTNNA2
Adherens junction,TGFBR1
Adherens junction,ACTN1
Adherens junction,WASL
Adherens junction,TGFBR2
Adherens junction,ACTN4
Adherens junction,INSR
Adherens junction,SORBS1
Adherens junction,BAIAP2
Adherens junction,CTNNA1
Adherens junction,VCL
Adherens junction,RAC1
Adherens junction,WASF3
Adherens junction,NECTIN1
Adipocytokine signaling pathway,PRKAG2
Adipocytokine signaling pathway,SLC2A4
Adipocytokine signaling pathway,ADIPOR2
Adipocytokine signaling pathway,AKT1
Adipocytokine signaling pathway,STAT3
Adipocytokine signaling pathway,POMC
Adipocytokine signaling pathway,ACSL1
Adipocytokine signaling pathway,CPT1C
Adipocytokine signaling pathway,PRKAB1
Adipocytokine signaling pathway,NFKBIA
Adipocytokine signaling pathway,AKT3
Adipocytokine signaling pathway,PRKAB2
Adipocytokine signaling pathway,JAK2
Adipocytokine signaling pathway,ACSL4
Adipocytokine signaling pathway,NPY
Adipocytokine signaling pathway,CAMKK2
Adipocytokine signaling pathway,STK11
Adipocytokine signaling pathway,PRKAA1
Adipocytokine signaling pathway,AGRP
Adipocytokine signaling pathway,ADIPOQ
Adipocytokine signaling pathway,NFKBIB
Adipocytokine signaling pathway,LEP
Adipocytokine signaling pathway,AKT2
Adipocytokine signaling pathway,CPT1A
Adipocytokine signaling pathway,TNF
Adipocytokine signaling pathway,PPARA
Adipocytokine signaling pathway,RXRG
Adipocytokine signaling pathway,TNFRSF1B
Adipocytokine signaling pathway,MAPK9
Adipocytokine signaling pathway,MAPK10
Adipocytokine signaling pathway,RELA
Adipocytokine signaling pathway,ACSL5
Adipocytokine signaling pathway,G6PC1
Adipocytokine signaling pathway,G6PC2
Adipocytokine signaling pathway,NFKB1
Adipocytokine signaling pathway,PCK1
Adipocytokine signaling pathway,IKBKG
Adipocytokine signaling pathway,CPT1B
Adipocytokine signaling pathway,PRKAG3
Adipocytokine signaling pathway,MAPK8
Adipocytokine signaling pathway,SLC2A1
Adipocytokine signaling pathway,CHUK
Adipocytokine signaling pathway,IKBKB
Adipocytokine signaling pathway,TNFRSF1A
Adipocytokine signaling pathway,TRADD
Adipocytokine signaling pathway,PRKAG1
Adipocytokine signaling pathway,TRAF2
Adipocytokine signaling pathway,NFKBIE
Adipocytokine signaling pathway,SOCS3
Adipocytokine signaling pathway,IRS4
Adipocytokine signaling pathway,IRS1
Adipocytokine signaling pathway,PPARGC1A
Adipocytokine signaling pathway,ACSBG2
Adipocytokine signaling pathway,ADIPOR1
Adipocytokine signaling pathway,RXRA
Adipocytokine signaling pathway,ACSBG1
Adipocytokine signaling pathway,PTPN11
Adipocytokine signaling pathway,PRKCQ
Adipocytokine signaling pathway,ACACB
Adipocytokine signaling pathway,G6PC3
Adipocytokine signaling pathway,ACSL3
Adipocytokine signaling pathway,ACSL6
Adipocytokine signaling pathway,PRKAA2
Adipocytokine signaling pathway,RXRB
Adipocytokine signaling pathway,LEPR
Adipocytokine signaling pathway,PCK2
Adipocytokine signaling pathway,MTOR
Adipocytokine signaling pathway,CD36
